Symbol,Price Level,Note,Foreground Color,Background Color,Text Alignment,Notification Enabled,Sound Notification Enabled,Notification Is Repeatable,Delay Before Repeating,Subscribing Offset,Notification Sound
ESU4@TV,5593.75,GBXH,#ffffff,#083044,left,,,,,,
ESU4@TV,5565.25,GBXL,#ffffff,#083044,left,,,,,,
ESU4@TV,5593.75,ETHH,#000000,#ff9900,left,,,,,,
ESU4@TV,5565.25,ETHL,#000000,#ff9900,left,,,,,,
ESU4@TV,5586.25,RTHH,#ffffff,#0033cc,left,,,,,,
ESU4@TV,5547.50,RTHL,#ffffff,#0033cc,left,,,,,,
ESU4@TV,5571.75,IBH,#000000,#00FF00,left,,,,,,
ESU4@TV,5547.50,IBL,#000000,#00FF00,left,,,,,,
ESU4@TV,5586.25,PGBXH,#ffffff,#083044,left,,,,,,
ESU4@TV,5536.50,PGBXL,#ffffff,#083044,left,,,,,,
ESU4@TV,5586.25,PRTHH,#000000,#ffcc00,left,,,,,,
ESU4@TV,5547.50,PRTHL,#000000,#ffcc00,left,,,,,,
ESU4@TV,5578.50,RVPOC,#ffffff,#ff3333,left,,,,,,
ESU4@TV,5585.50,EVPOC,#ffffff,#ff3333,left,,,,,,
ESU4@TV,5567.00,RMID,#000000,#ffff00,left,,,,,,
ESU4@TV,5580.25,RCLS,#000000,#ff9900,left,,,,,,
ESU4@TV,5579.50,EMID,#000000,#ffff00,left,,,,,,
ESU4@TV,5549.50,ROPN,#ffffff,#ff66ff,left,,,,,,
ESU4@TV,5581.00,GBXVWAP,#ffffff,#800080,left,,,,,,
ESU4@TV,5569.25,RVWAP,#ffffff,#ff66ff,left,,,,,,
ESU4@TV,5581.00,EVWAP,#ffffff,#ff66ff,left,,,,,,
ESU4@TV,5590.75,DVAH,#000000,#ffcc00,left,,,,,,
ESU4@TV,5575.50,DVAL,#000000,#ffcc00,left,,,,,,
ESU4@TV,5585.25,VAH,#000000,#ffff00,left,,,,,,
ESU4@TV,5562.00,VAL,#000000,#ffff00,left,,,,,,
ESU4@TV,0,SETTLE,#000000,#ffff00,left,,,,,,
ESU4@TV,5555.00,SETTLE,#000000,#ffff00,left,,,,,,
ESU4@TV,5600.00,SETTLE,#000000,#ffff00,left,,,,,,
ESU4@TV,5610.00,SETTLE,#000000,#ffff00,left,,,,,,
ESU4@TV,5611.00,SETTLE,#000000,#ffff00,left,,,,,,
ESU4@TV,5621.00,SETTLE,#000000,#ffff00,left,,,,,,
